source,host,sourcetype,eventtype,punct,process,"src_ip",action,"_raw","_time"
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:34:04 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209998044
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:34:04 45.0.12.112 named[30381]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209998044
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:34:04 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209998044
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:34:04 45.0.12.112 named[30381]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209998044
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:33:49 45.0.12.112 named[30381]: client 216.231.45.51#2093: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209998029
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:33:14 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997994
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:32:13 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997933
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:31:12 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997872
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:30:11 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997811
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:29:10 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997750
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:28:50 45.0.12.112 named[30382]: client 216.231.45.51#2078: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209997730
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:28:15 45.0.12.112 named[30381]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209997695
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:28:15 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209997695
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'__(_)'____()",named,,,"May  5 10:28:15 45.0.12.112 named[30381]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'RRset exists (value dependent)' prerequisite not satisfied (NXRRSET)",1209997695
"tcp:514","45.0.12.112",syslog,,"___::_..._[]:__...#:___'../':__:_'___'____()",named,,,"May  5 10:28:15 45.0.12.112 named[30382]: client 45.0.12.20#32789: updating zone 'enet.interop.net/IN': update failed: 'name not in use' prerequisite not satisfied (YXDOMAIN)",1209997695
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:28:09 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997689
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:27:08 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997628
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:26:07 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997567
"tcp:514",localhost,syslog,,"___::_,,,,-_:_[]_(_)_[:]_,___",medic,,,"May  5 10:25:06 management,engine,reporting,efc,ustat-0 medic: [RS] (operational failure) [sysmon:check] failed, taking corrective action",1209997506
